topic_id,video_count,median_views,median_like_rate,top_category,category_mix,topic_label
4,387,208271.0,0.020477971322180235,gaming,"{'gaming': 372, 'entertainment': 6, 'fitness': 4, 'tech': 3, 'research_science': 2}",4_new fortnite_fortnite fortnite_fortnite new_fortnite battle
250,14,206865.5,0.039413356851773884,gaming,{'gaming': 14},250_quarantine_zone_zombies_border
202,19,204186.0,0.034081927989115725,gaming,{'gaming': 19},202_ghost_gameplay ps5_ps5 gameplay_2025 gameplay
241,15,203469.0,0.03026505352377359,research_science,{'research_science': 15},241_entropy_thermodynamics_information theory_boltzmann
142,31,199296.0,0.036102935678795,research_science,{'research_science': 31},142_nobel prize_nobel_prize physics_prize
47,68,189179.5,0.03168131010144997,tech,"{'tech': 64, 'entertainment': 2, 'gaming': 2}",47_build ai_net_openai_chatbot
114,41,180068.0,0.02807209175314036,entertainment,"{'entertainment': 40, 'research_science': 1}",114_knight seven_kingdoms trailer_seven kingdoms_thrones episodes
272,12,178581.5,0.03577326787458146,entertainment,"{'entertainment': 11, 'fitness': 1}",272_bridgerton_netflix netflix_netflix series_netflix
30,97,171764.0,0.04302281876269903,research_science,"{'research_science': 46, 'tech': 33, 'entertainment': 8, 'gaming': 7, 'fitness': 2, 'food': 1}",30_future ai_ai ai_ai_intelligence ai
77,52,169380.5,0.03087520979736435,food,"{'food': 51, 'entertainment': 1}",77_fishing_fish_trout_salmon
89,49,169162.0,0.043303592958765375,tech,"{'tech': 45, 'gaming': 3, 'entertainment': 1}",89_10 windows_windows 11_windows 10_windows
22,125,168627.0,0.03695425799405684,research_science,"{'research_science': 123, 'tech': 2}",22_exoplanets_exoplanet_planets_planet
186,22,162879.0,0.03749620554197537,research_science,"{'research_science': 21, 'tech': 1}",186_spacex_spaceflight_starship_crew
213,18,156929.0,0.03818962359425708,research_science,{'research_science': 18},213_webb telescope_telescope jwst_webb space_space telescope
159,28,154784.5,0.038407063428395796,research_science,"{'research_science': 23, 'entertainment': 3, 'food': 2}",159_vaccine_vaccines_covid 19_covid
274,11,152789.0,0.023703722896613075,entertainment,{'entertainment': 11},274_adult_favorite shows_binge_hbo max
29,104,152180.5,0.04404319522350662,gaming,"{'gaming': 75, 'entertainment': 19, 'research_science': 6, 'tech': 3, 'food': 1}",29_resident evil_episodes game_game_episodes
50,64,140658.5,0.02090995252779789,entertainment,"{'entertainment': 63, 'gaming': 1}",50_celebrity interviews_celebrity moments_jimmy fallon_celebrity
219,17,136646.0,0.03177168093756649,research_science,{'research_science': 17},219_physics 101_physics physics_acceleration_physics girl
262,12,132350.5,0.017911261531858597,entertainment,{'entertainment': 12},262_comics_plans_soap_merch
43,77,128686.0,0.04047852114927715,tech,"{'tech': 71, 'research_science': 4, 'gaming': 2}",43_nintendo_nintendo switch_game boy_retro gaming
11,213,123338.0,0.024151710117526124,research_science,"{'research_science': 209, 'tech': 4}",11_statquest videos_statquests_new statquests_statquests follow
111,42,123273.5,0.04992018163073607,research_science,"{'research_science': 40, 'food': 1, 'tech': 1}",111_dark matter_matter dark_dark energy_cosmology
210,18,121018.5,0.032078877069067084,entertainment,"{'entertainment': 11, 'food': 3, 'research_science': 3, 'tech': 1}",210_winter olympics_olympics_olympic_milano
168,26,116596.5,0.004607266737267898,tech,"{'tech': 25, 'entertainment': 1}",168_iphone android_android iphone_whatsapp_photos videos
27,107,116250.0,0.035141374017178144,research_science,"{'research_science': 106, 'entertainment': 1}",27_sixtysymbols_list sixtysymbols_symbols_symbols videos
76,52,114636.5,0.010968732861138496,entertainment,"{'entertainment': 51, 'gaming': 1}",76_talent_superstar_mel_audition
244,14,109172.0,0.025753530204987607,research_science,"{'research_science': 13, 'fitness': 1}",244_transistors_electronics_circuits_circuit
26,112,104739.5,0.02598844420847129,tech,"{'tech': 108, 'entertainment': 3, 'research_science': 1}",26_macbook pro_macbook_macbook air_pro m5
110,42,103797.0,0.021538325321269827,tech,{'tech': 42},110_wifi_wi fi_wireless_ghz
243,14,102814.5,0.03591768171624053,fitness,"{'fitness': 12, 'gaming': 1, 'tech': 1}",243_splits_split_routine_practice
200,19,101731.0,0.010151899693170196,entertainment,{'entertainment': 19},200_saudi_arabia_saudi arabia_skyscraper
122,39,94090.0,0.04127962589010522,entertainment,"{'entertainment': 38, 'food': 1}",122_harry potter_potter_harry_hogwarts
97,46,92811.5,0.0397024583996866,research_science,"{'research_science': 43, 'tech': 2, 'gaming': 1}",97_nvidia ai_ai nvidia_gpu cloud_nvidia nvidia
40,79,92702.0,0.04368242874303811,entertainment,"{'entertainment': 78, 'tech': 1}",40_movies 2025_films cinema_cinema oscars_new movies
236,15,92528.0,0.01918789270995203,gaming,{'gaming': 15},236_assassins creed_creed_ubisoft_dlc gameplay
1,1875,91322.0,0.033197458707855426,food,"{'food': 1821, 'entertainment': 19, 'research_science': 13, 'gaming': 12, 'fitness': 7, 'tech': 3}",1_chef_cook_culinary_cooks
32,87,89280.0,0.020888130066294433,gaming,"{'gaming': 81, 'entertainment': 3, 'tech': 2, 'research_science': 1}",32_twitch_video subscribe_channels content_youtube channels
226,16,88522.5,0.0372255140882915,gaming,{'gaming': 16},226_simulator gameplay_simulator_movie theater_theater
91,47,87273.0,0.04011909920740316,entertainment,{'entertainment': 47},91_disturbing breakdown_breakdown_instagram twitter_twitter instagram
15,170,86702.5,0.03047325512030225,gaming,"{'gaming': 161, 'tech': 5, 'entertainment': 3, 'research_science': 1}",15_gta_cars_roblox_gaming
93,47,86553.0,0.02363277579402368,fitness,"{'fitness': 46, 'entertainment': 1}",93_training nutrition_exercise_trainer_rp
113,41,84958.0,0.03548437106862294,entertainment,"{'entertainment': 32, 'gaming': 6, 'tech': 2, 'research_science': 1}",113_avatar ash_ash_avatar_disney plus
80,51,84354.0,0.03866272863141414,entertainment,{'entertainment': 51},80_copyright_permitted copyright_107 copyright_infringing
260,13,83673.0,0.026579381025152848,tech,"{'tech': 8, 'gaming': 3, 'research_science': 2}",260_keyboard_switches_wireless_usb
249,14,82358.0,0.0406588499565723,gaming,"{'gaming': 10, 'tech': 3, 'entertainment': 1}",249_simulator_simulator gameplay_sim simulator_car
8,259,82150.0,0.025782252039299385,tech,"{'tech': 257, 'entertainment': 2}",8_iphone 17_17 iphone_iphone 16_pro iphone
275,11,80999.0,0.011469176587919966,entertainment,{'entertainment': 11},275_gold rush_mining_gold gold_rush
67,54,79347.0,0.041874855625172284,entertainment,"{'entertainment': 48, 'tech': 4, 'gaming': 2}",67_watch uncut_uncut_unsolved mysteries_videos channel
95,47,78234.0,0.04100692172595475,research_science,"{'research_science': 22, 'fitness': 9, 'entertainment': 5, 'food': 4, 'tech': 4, 'gaming': 3}",95_sleep_hours sleep_sleeping_fall asleep
121,40,78021.5,0.04183911726024494,gaming,"{'gaming': 39, 'tech': 1}",121_battlefield battlefield_battlefield_walkthrough gameplay_gameplay
267,12,77395.5,0.041880545919050875,gaming,{'gaming': 12},267_simulator_real estate_sim simulator_sim
98,46,77131.5,0.02057852512016969,tech,"{'tech': 37, 'research_science': 5, 'entertainment': 3, 'food': 1}",98_smart glasses_glasses_lenses_apple vision
10,214,76761.5,0.03545906984012706,entertainment,"{'entertainment': 207, 'gaming': 5, 'research_science': 1, 'fitness': 1}",10_spider man_marvel_avengers_avengers doomsday
258,13,76498.0,0.01940259331198488,tech,{'tech': 13},258_dell_best laptop_laptop best_laptop review
291,10,75997.0,0.03445771736160254,research_science,{'research_science': 10},291_periodic videos_videos chemistry_periodic table_nottingham periodic
45,71,74929.0,0.0298932384341637,entertainment,"{'entertainment': 68, 'food': 3}",45_supernatural_derry_welcome derry_ending explained
